timestamp,open,high,low,close,volume,SMMA20,SMMA120,SMMA_gap,SMMA_gap_pct,price_change_5m,price_change_15m,price_change_30m,volume_sma_5,volume_sma_20,volume_ratio,rolling_std_5,rolling_std_20,ATR_14,SMMA_gap_change,SMMA_gap_change_pct,PREV_GAP,BUY_SIGNAL,SELL_SIGNAL,signal,symbol
1767340800,1269.0,1269.2,1267.2,1267.7,42209,1273.997591740034,1274.2130162558692,-0.21542451583513866,-0.01690647584719698,-0.1024428684003098,-0.38503850385037675,-0.4554377699254042,86736.8,93587.7,0.4510101220566378,0.087557949846784,0.08584240517442793,1.7428571428571493,-0.2767209678029303,-451.44695805286403,0.061296451967791654,False,True,SELL,NSE_AXISBANK-EQ
1767346800,438.84,440.16,438.64,439.96,390380,442.04880687425174,442.0696602462049,-0.020853371953137412,-0.0047172140113672135,0.24608093328473135,-0.12258796821793538,-0.09537217857304991,262446.0,146576.75,2.663314611628379,0.1895908489376516,0.1092960017883665,0.7814285714285713,-0.09220896654500166,-129.22457877677758,0.07135559459186425,False,True,SELL,NSE_KOTAKBANK-EQ
1767585900,1596.6,1598.9,1590.0,1590.9,131429,1631.7976679835676,1633.5194238731567,-1.721755889589076,-0.10540161717249166,-0.35700864336714044,-1.3945704722945318,-3.0234684547394086,196976.8,85804.95,1.5317181584512316,0.3714254075824678,0.3376781634440805,5.821428571428539,-1.794362422137965,-2471.3512119997577,0.07260653254888894,False,True,SELL,NSE_INFY-EQ
1767586800,1282.8,1285.0,1281.6,1284.8,87223,1273.6421665803955,1273.5473319952646,0.09483458513091136,0.007446490817293314,0.14029618082618267,0.14810195650478697,0.35148012184644806,86659.6,132044.5,0.6605576150464427,0.11720755439436807,0.18981323162964475,3.971428571428565,0.49269415517164816,-123.8361955504052,-0.3978595700407368,True,False,BUY,NSE_AXISBANK-EQ
1767587400,3192.4,3198.0,3192.0,3195.3,32965,3229.302221926972,3229.6457856420166,-0.34356371504463823,-0.010637814108655934,0.08770555990602613,-0.3337492202120984,-0.27153558052434024,36911.6,36157.15,0.9117145571484477,0.19103353784080093,0.181495682395029,9.735714285714298,-1.5009705803231554,-129.6839188837854,1.1574068652785172,False,True,SELL,NSE_TCS-EQ
1767587700,986.4,988.65,985.7,988.55,374188,995.0447312086487,995.2079199141139,-0.16318870546513153,-0.016397448432606394,0.2027266737621103,0.22812531684071047,-0.13637741185978935,312896.2,448273.65,0.8347311960004787,0.17152976438203343,0.2413841389974467,3.5107142857143003,-0.28587905150880033,-233.00859499332432,0.1226903460436688,False,True,SELL,NSE_HDFCBANK-EQ
1767603600,1579.7,1580.0,1579.0,1579.9,76265,1587.0462355093518,1587.0873291242779,-0.04109361492601238,-0.0025892472437976676,0.018992149911389866,-0.006329113924041785,-0.044286979627983225,91680.4,86899.3,0.8776250211451645,0.049942440691510326,0.054530179185930346,2.1071428571428896,-0.31571993465354353,-114.96346561639945,0.27462631972753115,False,True,SELL,NSE_RELIANCE-EQ
1767674100,3241.9,3242.0,3239.3,3239.8,28155,3228.107388840145,3227.6437730346715,0.463615805473637,0.014363908723351448,-0.06477682840309029,-0.030856578622562303,0.3251478648623518,33683.0,52261.45,0.5387336172264643,0.15875983561095372,0.13544543377397483,7.728571428571415,0.513247419585241,-1034.1138985146213,-0.049631614111603994,True,False,BUY,NSE_TCS-EQ
1767690000,4146.4,4146.4,4140.0,4140.4,13298,4153.632685911869,4154.036189251874,-0.4035033400050452,-0.009713524909798982,-0.13266118333775667,-0.255360154179729,-0.2913907284768258,12819.2,9448.35,1.4074415109516476,0.06345098528390558,0.050076982332543485,4.871428571428559,-0.5818673276116897,-326.22466867858566,0.17836398760664451,False,True,SELL,NSE_LT-EQ
1767759600,1625.6,1627.2,1624.0,1626.7,34340,1617.0191310785563,1616.9292728604726,0.0898582180836911,0.005557337577587731,0.06766732283465249,-0.5258973888583096,-0.37359137677608345,78262.4,129903.1,0.2643508892397487,0.4039866046869237,0.35838045525886764,5.828571428571438,0.427412466165606,-126.62037838193197,-0.3375542480819149,True,False,BUY,NSE_INFY-EQ
1767843900,1006.6,1008.2,1003.05,1006.4,379144,1008.143699430833,1008.1838073471771,-0.040107916344140904,-0.003978234529443239,-0.049657364187105646,-0.05462038830130744,-0.06454495804577576,261947.0,164144.2,2.309822704670649,0.03150355210238014,0.09902058806434126,1.6107142857142907,-0.0767836765469383,-209.35810497823502,0.03667576020279739,False,True,SELL,NSE_SBIN-EQ
1767844200,4156.0,4163.8,4154.0,4161.0,10004,4146.040569073957,4146.0293612476435,0.011207826313693658,0.0002703267472838385,0.10103926096998173,0.13235471062447157,0.2819752729376068,40501.0,22036.15,0.4539812989111074,0.11081764750032466,0.08176112139645067,7.485714285714104,0.6615347827973892,-101.72341407686591,-0.6503269564836955,True,False,BUY,NSE_LT-EQ
1767847200,1008.95,1011.6,1008.65,1011.1,83655,1008.2914461319267,1008.1927812649307,0.09866486699604593,0.0097863096056149,0.2081268582755147,0.32246862132261356,0.18330443398564267,75142.0,153005.75,0.546744158307776,0.18512356608157388,0.1293652901717434,2.3964285714285927,0.1233882150968384,-499.07566966176154,-0.024723348100792464,True,False,BUY,NSE_SBIN-EQ
1767848100,3207.4,3208.1,3192.3,3197.3,99818,3253.30525007083,3253.91371907588,-0.6084690050502104,-0.018699604770805574,-0.32421984599556586,-0.5845589378439597,-0.8527660630116563,95928.2,75596.95,1.320397185336181,0.16439352270651295,0.24759924170090133,11.599999999999941,-2.471899202117129,-132.6531686568112,1.8634301970669185,False,True,SELL,NSE_TCS-EQ
1767850200,1006.0,1006.0,1004.0,1004.85,133016,1008.1276942301771,1008.184553160672,-0.056858930494854576,-0.005639734343935451,-0.10438413361169019,-0.2630272952853563,-0.48526863084922267,73965.2,80365.75,1.6551329390940792,0.02064901594436101,0.13116924705675737,1.7000000000000048,-0.14448876750941508,-164.88535461432724,0.08762983701456051,False,True,SELL,NSE_SBIN-EQ
1767854100,4127.3,4127.3,4119.4,4122.1,12418,4146.729534874084,4147.340643050454,-0.6111081763701804,-0.014734940506856892,-0.11631006324357429,-0.2902687404755522,-0.3529383324872404,22772.4,19771.45,0.6280773539624054,0.11272662483091166,0.0692209291001689,6.428571428571494,-1.0841850650404012,-229.17734748952842,0.4730768886702208,False,True,SELL,NSE_LT-EQ
1767855900,1615.5,1617.7,1615.5,1617.5,11532,1624.1663089315748,1624.236884684997,-0.07057575342219025,-0.004345163817399556,0.12380068090374063,0.012366289494836202,-0.2774352651048084,27318.4,42617.05,0.2705959234625578,0.1287086297919243,0.1016241264400489,2.914285714285711,-0.2942458884751886,-131.55349881890464,0.22367013505299838,False,True,SELL,NSE_INFY-EQ
