symbol,timestamp,signal,entry_ltp,exit_ltp,pnl,target,SMMA20,SMMA120,SMMA_gap,price_change_pct,volume
NSE_ICICIBANK-EQ,1768203000,BUY,1421.7,1416.8,-4.900000000000091,0,1411.0936933771961,1410.6769279617836,0.41676541541255574,-0.1545052321089996,93172
NSE_SBIN-EQ,1768203600,BUY,1009.95,1012.25,2.2999999999999545,1,1002.9262073826585,1002.8011462517702,0.12506113088829807,0.12888514350865693,65079
NSE_TCS-EQ,1768211400,BUY,3242.5,3238.9,-3.599999999999909,0,3216.1501295536377,3216.1136668014756,0.036462752162151446,0.37145952638910384,86783
NSE_KOTAKBANK-EQ,1768279500,BUY,426.68,426.74,0.060000000000002274,1,426.138077948116,426.1178249420391,0.020253006076927704,-0.04216839244717397,389680
NSE_KOTAKBANK-EQ,1768289400,SELL,424.58,425.0,-0.4200000000000159,0,426.13784329004665,426.1841709767316,-0.04632768668494691,0.028271215191067366,200900
NSE_AXISBANK-EQ,1768367100,BUY,1287.1,1304.7,17.600000000000136,1,1273.1109532066082,1272.9547067666049,0.156246440003315,-0.038831935383659526,83573
NSE_TCS-EQ,1768368600,SELL,3209.7,3214.3,-4.600000000000364,0,3230.93703826966,3231.7041879643825,-0.7671496947223204,0.040518638573735416,65724
NSE_ICICIBANK-EQ,1768383600,SELL,1417.6,1414.4,3.199999999999818,1,1422.5348950223947,1422.6435981534858,-0.10870313109103336,-0.056401579244231656,594251
NSE_INFY-EQ,1768535400,BUY,1671.6,1679.5,7.900000000000091,1,1602.93482320567,1600.9775837469956,1.957239458674394,0.5292278085157538,951704
NSE_RELIANCE-EQ,1768540800,BUY,1476.8,1470.1,-6.7000000000000455,0,1466.0584254040627,1465.9805527558253,0.0778726482374168,-0.1487491548343506,159507
NSE_RELIANCE-EQ,1768549200,SELL,1458.7,1457.9,0.7999999999999545,1,1466.063341415933,1466.369713645856,-0.3063722299229994,0.05487344811029251,238950
NSE_KOTAKBANK-EQ,1768804500,BUY,427.0,428.4,1.3999999999999773,1,423.5568610078091,423.44714291356615,0.10971809424296453,0.046860356138703985,75263
NSE_HDFCBANK-EQ,1768893900,BUY,932.8,932.9,0.10000000000002274,1,930.1396342934355,930.078962867527,0.06067142590848107,0.04290004290004046,149148
NSE_KOTAKBANK-EQ,1768967700,SELL,422.4,423.3,-0.9000000000000341,0,426.10364639967776,426.10545205427377,-0.0018056545960121184,-0.2597402597402651,176489
NSE_INFY-EQ,1768968000,SELL,1641.5,1644.8,-3.2999999999999545,0,1660.935165952786,1661.4293768461275,-0.4942108933414602,-0.11561397103566332,136170
NSE_AXISBANK-EQ,1768968300,SELL,1294.6,1284.7,9.899999999999864,1,1297.7564959903998,1297.759853298163,-0.0033573077632809145,-0.2235067437379646,53524
NSE_HDFCBANK-EQ,1768969500,SELL,926.3,919.5,6.7999999999999545,1,930.2386891184948,930.3603113884382,-0.12162226994337288,-0.15629210455403347,137094
NSE_SBIN-EQ,1768972500,SELL,1029.3,1026.25,3.0499999999999545,1,1036.674624231564,1036.7437203633065,-0.06909613174252627,-0.21328162869607808,103193
NSE_SBIN-EQ,1769055000,BUY,1050.4,1047.35,-3.050000000000182,0,1034.5677492657908,1034.4073365442664,0.16041272152438069,-0.009519276534974684,345990
NSE_INFY-EQ,1769055600,BUY,1665.8,1663.0,-2.7999999999999545,0,1656.584560714168,1656.48311926766,0.10144144650803355,-0.10194902548725909,30237
NSE_KOTAKBANK-EQ,1769056800,BUY,427.6,421.1,-6.5,0,424.3581639262973,424.27727689294625,0.08088703335107539,0.0467945718296784,131083
NSE_KOTAKBANK-EQ,1769059500,SELL,421.8,422.6,-0.8000000000000114,0,424.26134549714925,424.2751667356616,-0.013821238512377931,-0.14204545454544648,76206
NSE_TCS-EQ,1769063100,BUY,3149.3,3134.2,-15.100000000000364,0,3141.5936938068126,3141.3008234454387,0.2928703613738435,0.003175409627853544,12339
NSE_TCS-EQ,1769067900,SELL,3124.1,3131.8,-7.700000000000273,0,3141.3065048716626,3141.5457495603946,-0.23924468873201477,-0.07356704196520542,13561
NSE_AXISBANK-EQ,1769073300,BUY,1297.3,1288.6,-8.700000000000045,0,1290.2523013406924,1290.229867921981,0.022433418711443665,0.16987105242838743,112580
NSE_KOTAKBANK-EQ,1769073900,BUY,425.4,426.0,0.6000000000000227,1,424.07826717317977,424.03172912217246,0.04653805100730324,0.04703668861711868,115520
NSE_TCS-EQ,1769074800,BUY,3151.8,3178.6,26.799999999999727,1,3141.1382595811174,3141.0769103226517,0.06134925846572514,0.04443880142204453,36604
NSE_AXISBANK-EQ,1769142300,SELL,1286.0,1288.2,-2.2000000000000455,0,1290.3164958929283,1290.335832160865,-0.019336267936751028,0.10898334111786478,59650
NSE_KOTAKBANK-EQ,1769154900,SELL,422.5,421.3,1.1999999999999886,1,424.37969526110135,424.4605927511432,-0.08089749004187752,-0.2832192589096032,61672
NSE_SBIN-EQ,1769158200,SELL,1030.1,1027.45,2.6499999999998636,1,1041.1210474815493,1041.2761727665925,-0.15512528504314105,-0.17443550731661805,124388
NSE_AXISBANK-EQ,1769488200,BUY,1317.8,1324.8,7.0,1,1285.5105325406141,1285.1736014329094,0.33693110770468593,0.06074411541381583,286775
NSE_TCS-EQ,1769490900,SELL,3137.4,3150.5,-13.099999999999909,0,3156.17090933881,3156.763907519967,-0.5929981811568723,0.03826286588866376,27875
NSE_SBIN-EQ,1769500500,BUY,1046.3,1044.0,-2.2999999999999545,0,1040.1622092637742,1039.9544733657426,0.20773589803161485,0.27793751198005207,154359
NSE_ICICIBANK-EQ,1769503200,BUY,1356.6,1360.3,3.7000000000000455,1,1350.5194154560154,1350.2731923204046,0.24622313561076226,0.10330578512395686,440592
NSE_HDFCBANK-EQ,1769506500,BUY,925.35,932.95,7.600000000000023,1,918.7546568245695,918.6303190338865,0.1243377906829437,0.2003248511099104,1852239
NSE_LT-EQ,1769507400,BUY,3789.0,3815.0,26.0,1,3771.6418789038216,3771.2279478621585,0.4139310416630906,0.005278716216211415,88641
NSE_TCS-EQ,1769572200,BUY,3187.4,3189.5,2.099999999999909,1,3153.306077271115,3153.1450507920476,0.16102647906745915,-0.4746143758196409,63589
NSE_RELIANCE-EQ,1769578500,BUY,1400.9,1399.3,-1.6000000000001364,0,1393.6815591761115,1393.4468465428554,0.2347126332560947,-0.07133176403452457,123199
NSE_INFY-EQ,1769578800,SELL,1660.3,1659.0,1.2999999999999545,1,1669.5693581579048,1669.8611938516747,-0.2918356937698263,0.048207291352814374,86916
NSE_RELIANCE-EQ,1769591100,SELL,1391.7,1397.9,-6.2000000000000455,0,1394.0766500576751,1394.1222010050546,-0.04555094737952459,0.028750089844037298,87202
NSE_RELIANCE-EQ,1769593200,BUY,1396.1,1390.0,-6.099999999999909,0,1394.188542965741,1394.1336962559549,0.0548467097860339,0.02149305058030911,369256
NSE_RELIANCE-EQ,1769661000,SELL,1389.7,1394.0,-4.2999999999999545,0,1394.1954422221474,1394.199708703493,-0.004266481345439388,-0.02158273381294637,152127
NSE_TCS-EQ,1769662500,SELL,3133.4,3134.0,-0.599999999999909,0,3165.974876779641,3167.1502116405404,-1.1753348608995111,-0.1465901848310997,18331
NSE_RELIANCE-EQ,1769672100,BUY,1396.6,1397.7,1.1000000000001364,1,1394.0139531802577,1393.9702677009968,0.04368547926083011,-0.07870072261573559,178227
NSE_RELIANCE-EQ,1769673300,SELL,1392.6,1398.3,-5.7000000000000455,0,1393.9381349525272,1393.9594838382545,-0.02134888572732052,-0.057413520884181266,104873
NSE_RELIANCE-EQ,1769673600,BUY,1394.7,1399.7,5.0,1,1393.976228204901,1393.9656548062692,0.010573398631777309,0.15079707022835964,92054
NSE_RELIANCE-EQ,1769745000,SELL,1383.3,1387.4,-4.100000000000136,0,1394.0398432866052,1394.2118325586916,-0.1719892720864209,-0.08667388949079419,171108
NSE_ICICIBANK-EQ,1769757300,SELL,1360.4,1359.6,0.8000000000001819,1,1365.6317285293921,1365.693342626911,-0.06161409751894098,-0.05142899125705813,41180
NSE_RELIANCE-EQ,1769766900,BUY,1397.0,1404.8,7.7999999999999545,1,1392.4785561705405,1392.4039882993536,0.07456787118690045,-0.021469977814353006,611209
NSE_KOTAKBANK-EQ,1769925000,BUY,413.65,410.15,-3.5,0,410.57174795649644,410.5671878367726,0.004560119723862499,0.024180872929504507,27455
NSE_SBIN-EQ,1769928600,SELL,1033.8,1039.0,-5.2000000000000455,0,1066.3852721426015,1067.1216473852267,-0.7363752426251722,-0.5004812319538061,781611
