signal,entry_timestamp,entry_ltp,entry_smma20,entry_smma120,exit_timestamp,exit_ltp,pnl,profitable,symbol,feature_entry_ltp,SMMA20,SMMA120,smma_spread,smma_spread_pct,volume,volume_ma_5,volume_ma_20,volume_ratio,return_1,return_3,return_5,volatility_5,ltp,ltq,ltq_avg_2m,ltq_avg_5m,ltq_ratio,ltq_change_pct,ltq_std_5m,ltq_zscore,ltp_change_pct,ltp_change_1m,ltp_std_5m,ltq_spike,price_direction,ltq_time_difference_sec
SELL,1785830400,1246.0,1250.1888699925562,1250.2509963649582,1785901800,1258.0,-12.0,0,NSE:AXISBANK-EQ,1246.0,1250.1888699925562,1250.2509963649582,-0.062126372401962726,-0.004969112008915972,62139,47656.2,61999.4,1.0022516346932389,8.026326350418778e-05,8.026326350418778e-05,-0.0005614823133072155,0.0003614405700357831,,,,,,,,,,,,,,
SELL,1785915900,1248.8,1250.6677126711045,1250.717573146306,1785923400,1255.0,-6.2000000000000455,0,NSE:AXISBANK-EQ,1248.8,1250.6677126711045,1250.717573146306,-0.0498604752015126,-0.0039865495034249465,26900,35978.4,31015.35,0.867312475919182,0.001523778971850076,0.0010420841683367321,0.0004806921967632771,0.0009322174915642524,,,,,,,,,,,,,,
BUY,1785905100,1450.8,1444.8683723268487,1444.6570380298494,1785913500,1438.2,-12.599999999999909,0,NSE:ICICIBANK-EQ,1450.8,1444.8683723268487,1444.6570380298494,0.2113342969992118,0.01462868289399807,62519,108780.4,182701.9,0.34219129631383144,0.00013787398317943733,0.00020682523267834263,0.0017261617068287105,0.0012229797441261965,,,,,,,,,,,,,,
BUY,1785989700,1454.6,1444.0537139209655,1443.702352097456,1786083000,1440.0,-14.599999999999909,0,NSE:ICICIBANK-EQ,1454.6,1444.0537139209655,1443.702352097456,0.3513618235094782,0.024337552889555712,91116,91594.4,176228.15,0.5170343103528012,0.0011011699931176011,0.001790633608815373,0.0031032342597061557,0.000629637523401732,,,,,,,,,,,,,,
BUY,1785902100,1169.1,1160.5965831905526,1160.446012181321,1786512900,1171.6,2.5,1,NSE:INFY-EQ,1169.1,1160.5965831905526,1160.446012181321,0.15057100923149846,0.012975270512452893,185203,391120.4,203949.1,0.9080844191026094,0.0020570840833118442,0.0013704496788007337,0.00958549222797922,0.0038310352628633526,,,,,,,,,,,,,,
BUY,1785994800,1308.3,1295.9231231823392,1295.8486165749441,1786508400,1315.4,7.100000000000136,1,NSE:RELIANCE-EQ,1308.3,1295.9231231823392,1295.8486165749441,0.0745066073950511,0.005749638224870697,231684,275413.0,183970.75,1.2593523698740152,0.0009946442234123332,0.0009946442234123332,0.005533779109983872,0.0014808361513951505,,,,,,,,,,,,,,
BUY,1785904200,1049.4,1039.841589721219,1039.7049816872002,1786355700,1071.0,21.59999999999991,1,NSE:SBIN-EQ,1049.4,1039.841589721219,1039.7049816872002,0.13660803401876365,0.013139115078306202,170356,148853.4,148775.9,1.1450510465740755,0.0011448196908987462,0.0009538344143456001,0.0029628213705439332,0.002057165523568343,,,,,,,,,,,,,,
BUY,1786509900,1079.5,1072.7263320874242,1072.4974754418756,1786680900,1072.9,-6.599999999999909,0,NSE:SBIN-EQ,1079.5,1072.7263320874242,1072.4974754418756,0.2288566455486034,0.02133866519865821,98171,136370.2,269151.3,0.3647428045118118,9.264406151565652e-05,0.0013914656771800704,-0.001849283402681423,0.0013247924233951536,,,,,,,,,,,,,,
SELL,1785910500,2429.9,2438.496703452713,2438.8158938115866,1786080900,2427.0,2.900000000000091,1,NSE:TCS-EQ,2429.9,2438.496703452713,2438.8158938115866,-0.31919035887358405,-0.013087923515814328,15829,25397.0,28994.5,0.5459311248685096,0.00028816071134540877,-0.0005347153668968652,-0.002094455852156063,0.0007548602222048606,,,,,,,,,,,,,,
