timestamp,open,high,low,close,volume,SMMA20,SMMA120,SMMA_gap,SMMA_gap_pct,price_change_5m,price_change_15m,price_change_30m,volume_sma_5,volume_sma_20,volume_ratio,rolling_std_5,rolling_std_20,ATR_14,SMMA_gap_change,SMMA_gap_change_pct,PREV_GAP,BUY_SIGNAL,SELL_SIGNAL,signal,symbol,entry_ltp,exit_ltp,pnl,target
1767340800,1269.0,1269.2,1267.2,1267.7,42209,1273.997591740034,1274.2130162558692,-0.2154245158351386,-0.0169064758471969,-0.1024428684003098,-0.3850385038503767,-0.4554377699254042,86736.8,93587.7,0.4510101220566378,0.087557949846784,0.0858424051744279,1.742857142857149,-0.2767209678029303,-451.446958052864,0.0612964519677916,False,True,SELL,NSE_AXISBANK-EQ,1267.7,1266.6,1.1000000000001364,1
1767346800,438.84,440.16,438.64,439.96,390380,442.0488068742517,442.0696602462049,-0.0208533719531374,-0.0047172140113672,0.2460809332847313,-0.1225879682179353,-0.0953721785730499,262446.0,146576.75,2.663314611628379,0.1895908489376516,0.1092960017883665,0.7814285714285713,-0.0922089665450016,-129.22457877677758,0.0713555945918642,False,True,SELL,NSE_KOTAKBANK-EQ,439.96,440.96,-1.0,0
1767585900,1596.6,1598.9,1590.0,1590.9,131429,1631.7976679835676,1633.5194238731567,-1.721755889589076,-0.1054016171724916,-0.3570086433671404,-1.3945704722945318,-3.0234684547394086,196976.8,85804.95,1.5317181584512316,0.3714254075824678,0.3376781634440805,5.821428571428539,-1.794362422137965,-2471.3512119997577,0.0726065325488889,False,True,SELL,NSE_INFY-EQ,1590.9,1597.0,-6.099999999999909,0
1767586800,1282.8,1285.0,1281.6,1284.8,87223,1273.6421665803955,1273.5473319952646,0.0948345851309113,0.0074464908172933,0.1402961808261826,0.1481019565047869,0.351480121846448,86659.6,132044.5,0.6605576150464427,0.117207554394368,0.1898132316296447,3.971428571428565,0.4926941551716481,-123.8361955504052,-0.3978595700407368,True,False,BUY,NSE_AXISBANK-EQ,1284.8,1286.2,1.400000000000091,1
1767587400,3192.4,3198.0,3192.0,3195.3,32965,3229.302221926972,3229.645785642017,-0.3435637150446382,-0.0106378141086559,0.0877055599060261,-0.3337492202120984,-0.2715355805243402,36911.6,36157.15,0.9117145571484476,0.1910335378408009,0.181495682395029,9.735714285714298,-1.5009705803231554,-129.6839188837854,1.1574068652785172,False,True,SELL,NSE_TCS-EQ,3195.3,3224.0,-28.699999999999815,0
1767587700,986.4,988.65,985.7,988.55,374188,995.0447312086488,995.207919914114,-0.1631887054651315,-0.0163974484326063,0.2027266737621103,0.2281253168407104,-0.1363774118597893,312896.2,448273.65,0.8347311960004787,0.1715297643820334,0.2413841389974467,3.5107142857143003,-0.2858790515088003,-233.00859499332432,0.1226903460436688,False,True,SELL,NSE_HDFCBANK-EQ,988.55,988.05,0.5,1
1767603600,1579.7,1580.0,1579.0,1579.9,76265,1587.0462355093518,1587.087329124278,-0.0410936149260123,-0.0025892472437976,0.0189921499113898,-0.0063291139240417,-0.0442869796279832,91680.4,86899.3,0.8776250211451645,0.0499424406915103,0.0545301791859303,2.1071428571428896,-0.3157199346535435,-114.96346561639945,0.2746263197275311,False,True,SELL,NSE_RELIANCE-EQ,1579.9,1529.1,50.80000000000018,1
1767674100,3241.9,3242.0,3239.3,3239.8,28155,3228.107388840145,3227.6437730346715,0.463615805473637,0.0143639087233514,-0.0647768284030902,-0.0308565786225623,0.3251478648623518,33683.0,52261.45,0.5387336172264643,0.1587598356109537,0.1354454337739748,7.728571428571415,0.513247419585241,-1034.1138985146213,-0.0496316141116039,True,False,BUY,NSE_TCS-EQ,3239.8,3237.1,-2.700000000000273,0
1767690000,4146.4,4146.4,4140.0,4140.4,13298,4153.632685911869,4154.036189251874,-0.4035033400050452,-0.0097135249097989,-0.1326611833377566,-0.255360154179729,-0.2913907284768258,12819.2,9448.35,1.4074415109516476,0.0634509852839055,0.0500769823325434,4.871428571428559,-0.5818673276116897,-326.22466867858566,0.1783639876066445,False,True,SELL,NSE_LT-EQ,4140.4,4124.9,15.5,1
1767759600,1625.6,1627.2,1624.0,1626.7,34340,1617.0191310785565,1616.9292728604726,0.0898582180836911,0.0055573375775877,0.0676673228346524,-0.5258973888583096,-0.3735913767760834,78262.4,129903.1,0.2643508892397487,0.4039866046869237,0.3583804552588676,5.828571428571438,0.427412466165606,-126.62037838193196,-0.3375542480819149,True,False,BUY,NSE_INFY-EQ,1626.7,1632.8,6.099999999999909,1
1767843900,1006.6,1008.2,1003.05,1006.4,379144,1008.143699430833,1008.1838073471772,-0.0401079163441409,-0.0039782345294432,-0.0496573641871056,-0.0546203883013074,-0.0645449580457757,261947.0,164144.2,2.309822704670649,0.0315035521023801,0.0990205880643412,1.6107142857142909,-0.0767836765469383,-209.35810497823505,0.0366757602027973,False,True,SELL,NSE_SBIN-EQ,1006.4,1009.7,-3.300000000000068,0
1767844200,4156.0,4163.8,4154.0,4161.0,10004,4146.040569073957,4146.029361247644,0.0112078263136936,0.0002703267472838,0.1010392609699817,0.1323547106244715,0.2819752729376068,40501.0,22036.15,0.4539812989111074,0.1108176475003246,0.0817611213964506,7.485714285714104,0.6615347827973892,-101.72341407686592,-0.6503269564836955,True,False,BUY,NSE_LT-EQ,4161.0,4161.6,0.6000000000003638,1
1767847200,1008.95,1011.6,1008.65,1011.1,83655,1008.2914461319268,1008.1927812649308,0.0986648669960459,0.0097863096056149,0.2081268582755147,0.3224686213226135,0.1833044339856426,75142.0,153005.75,0.546744158307776,0.1851235660815738,0.1293652901717434,2.3964285714285927,0.1233882150968384,-499.0756696617616,-0.0247233481007924,True,False,BUY,NSE_SBIN-EQ,1011.1,1004.65,-6.4500000000000455,0
1767848100,3207.4,3208.1,3192.3,3197.3,99818,3253.30525007083,3253.91371907588,-0.6084690050502104,-0.0186996047708055,-0.3242198459955658,-0.5845589378439597,-0.8527660630116563,95928.2,75596.95,1.320397185336181,0.1643935227065129,0.2475992417009013,11.59999999999994,-2.471899202117129,-132.6531686568112,1.8634301970669185,False,True,SELL,NSE_TCS-EQ,3197.3,3204.3,-7.0,0
1767850200,1006.0,1006.0,1004.0,1004.85,133016,1008.1276942301772,1008.184553160672,-0.0568589304948545,-0.0056397343439354,-0.1043841336116901,-0.2630272952853563,-0.4852686308492226,73965.2,80365.75,1.6551329390940792,0.020649015944361,0.1311692470567573,1.7000000000000048,-0.144488767509415,-164.88535461432724,0.0876298370145605,False,True,SELL,NSE_SBIN-EQ,1004.85,997.55,7.300000000000068,1
1767854100,4127.3,4127.3,4119.4,4122.1,12418,4146.729534874084,4147.340643050454,-0.6111081763701804,-0.0147349405068568,-0.1163100632435742,-0.2902687404755522,-0.3529383324872404,22772.4,19771.45,0.6280773539624054,0.1127266248309116,0.0692209291001689,6.428571428571494,-1.0841850650404012,-229.1773474895284,0.4730768886702208,False,True,SELL,NSE_LT-EQ,4122.1,4111.5,10.600000000000364,1
1767855900,1615.5,1617.7,1615.5,1617.5,11532,1624.1663089315748,1624.236884684997,-0.0705757534221902,-0.0043451638173995,0.1238006809037406,0.0123662894948362,-0.2774352651048084,27318.4,42617.05,0.2705959234625578,0.1287086297919243,0.1016241264400489,2.914285714285711,-0.2942458884751886,-131.55349881890464,0.2236701350529983,False,True,SELL,NSE_INFY-EQ,1617.5,1611.8,5.7000000000000455,1
1767859800,1287.8,1287.8,1286.3,1286.8,8707,1288.6909665530206,1288.7280485355154,-0.037081982494783,-0.0028774094376949,-0.0543689320388396,0.0310945273631624,-0.0233082122601202,13220.8,20194.2,0.4311634033534381,0.079530594880156,0.0622403978471156,1.6428571428571428,-0.0833224668881484,-180.19375874034637,0.0462404843933654,False,True,SELL,NSE_AXISBANK-EQ,1286.8,1288.3,-1.5,0
1767862200,1291.2,1292.2,1289.6,1290.0,33222,1288.753077853013,1288.7307865441612,0.0222913088521181,0.0017297102765655,-0.0774593338497275,0.2019574335870633,0.1475040757705326,67322.0,28131.8,1.1809411413418267,0.1187074246467631,0.0768705247596683,1.8714285714285748,0.0549618221275522,-168.2306661795841,-0.0326705132754341,True,False,BUY,NSE_AXISBANK-EQ,1290.0,1286.5,-3.5,0
1767862500,1289.8,1291.3,1287.5,1287.9,65899,1288.7104239603627,1288.72386332296,-0.0134393625971824,-0.0010428426895525,-0.1627906976744086,-0.1782669353588506,-0.0310486687883138,53516.4,30675.0,2.148296658516708,0.1450348312627822,0.0820188924696619,2.028571428571435,-0.0357306714493006,-160.28969714761925,0.0222913088521181,False,True,SELL,NSE_AXISBANK-EQ,1287.9,1286.0,1.900000000000091,1
1767862800,1288.1,1290.1,1287.8,1289.7,77065,1288.7599027623446,1288.7319977952686,0.0279049670759832,0.0021653041224802,0.1397624039133349,-0.1006971340046458,0.1553156791178178,51734.8,33858.75,2.276073393140621,0.1555418596863678,0.0870084962823139,2.1357142857142923,0.0413443296731657,-307.6360904335851,-0.0134393625971824,True,False,BUY,NSE_AXISBANK-EQ,1289.7,1294.0,4.2999999999999545,1
1767864600,1287.7,1288.3,1286.6,1287.2,110683,1288.6579454567004,1288.71690750642,-0.0589620497196392,-0.0045752522820335,-0.0543520459663104,-0.1163963684333024,-0.1938435295029905,56069.6,45598.35,2.427346603550348,0.0572645542941672,0.0912812507296433,2.0214285714286007,-0.0639868495027258,-1273.420877745319,0.0050247997830865,False,True,SELL,NSE_AXISBANK-EQ,1287.2,1282.2,5.0,1
1767938100,1403.0,1403.9,1402.6,1403.2,50841,1415.3336083547065,1415.6588857670006,-0.3252774122940991,-0.0229771038464442,0.0,0.0142551674982227,-0.1281138790035552,74546.2,136103.0,0.3735479746956349,0.0429333501503622,0.1082526847152956,2.778571428571451,-0.5339144469867279,-255.9058835231765,0.2086370346926287,False,True,SELL,NSE_ICICIBANK-EQ,1403.2,1407.0,-3.7999999999999545,0
